Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,ATG,"Population ages 65 and above, female",2813,2878,2944,3023,3116,3178,3250,3338,3432,3541,3642,3751,3872,4000,4137,4272,4419,4570,4736,4919,5131
Antigua and Barbuda,ATG,"Population ages 65 and above, male",2290,2344,2409,2483,2577,2623,2680,2749,2835,2936,3031,3135,3249,3366,3497,3631,3764,3904,4056,4221,4402
Argentina,ARG,"Population ages 0-14, male",5333124,5350072,5369400,5384889,5393566,5407217,5410359,5408041,5409174,5404603,5422973,5449188,5480320,5510397,5536053,5565696,5589652,5609438,5627960,5646296,5662121
Argentina,ARG,"Population ages 0-14, female",5177725,5189880,5203509,5213136,5216430,5226859,5226962,5222134,5221174,5215061,5231676,5256161,5285619,5314049,5338019,5366519,5389269,5407790,5424934,5441658,5456916
Argentina,ARG,"Population ages 15-64, female",11833714,11996571,12156726,12318012,12481918,12636955,12799457,12965306,13127586,13247722,13418717,13579342,13731914,13881778,14031690,14174088,14318968,14464449,14607508,14746578,14884796
Argentina,ARG,"Population ages 15-64, male",11284772,11446495,11610884,11779971,11953966,12112635,12280933,12455040,12628100,12762675,12939409,13107879,13270648,13433298,13598655,13750132,13906479,14065973,14225768,14384474,14535075
Armenia,ARM,"Population ages 0-14, female",364366,347896,332642,318062,304035,293366,282468,272471,264988,260857,259879,261267,264728,269189,273736,277562,281504,285122,288003,289898,290400
Armenia,ARM,"Population ages 15-64, female",1065864,1065902,1064762,1064709,1066915,1067573,1070801,1075402,1079521,1082167,1084037,1085470,1086049,1085840,1084853,1083198,1080464,1076731,1072014,1066362,1059565
Armenia,ARM,"Population ages 15-64, male",909802,912465,914729,917095,919754,919427,919272,919201,919024,918875,920800,924283,928424,932250,935029,935722,935209,933777,931859,929814,926846
Armenia,ARM,"Population ages 65 and above, female",188463,195325,202213,206987,208442,207146,202849,196943,191512,187939,186232,186247,187557,189474,191637,194373,197459,201288,206442,213227,222170
Armenia,ARM,"Population ages 65 and above, male",129758,135892,141715,145497,146327,145025,141200,136108,131486,128386,126331,125612,125780,126215,126587,127970,129301,130886,133211,136519,142386
Aruba,ABW,"Population ages 0-14, male",10751,10821,10863,10847,10782,10795,10804,10815,10819,10816,10669,10494,10293,10100,9940,9751,9646,9592,9535,9444,9443
